0_DummyClassifier,0_LogisticRegression-Hyper-Base-FullSet,0_DecisionTreeClassifier-Hyper-Base-FullSet,0_RandomForestClassifier-Hyper-Base-FullSet,0_XGBClassifier-Hyper-Base-FullSet,0_LGBMClassifier-Hyper-Base-FullSet,0_MLPClassifier-Hyper-Base-FullSet,0_DecisionTreeClassifier-Hyper-SMOTE-FullSet,0_RandomForestClassifier-Hyper-SMOTE-FullSet,0_XGBClassifier-Hyper-SMOTE-FullSet,0_LGBMClassifier-Hyper-SMOTE-FullSet
0.5,0.992473532152,1.0,0.9591931403952717,0.95653534,0.9910222635421415,0.9989440108371593,1.0,0.968,0.9821916,0.8968547751064134
0.5,0.8835271073076296,0.9723314182038101,0.8064323617058521,0.8746548,0.8929972544020758,0.9721127394576692,1.0,0.8434233486943165,0.8838386,0.9329458499569002
0.5,0.9877721327524969,0.9723314182038101,0.9854890290085903,0.99647677,0.997426699096389,0.9991534125034667,1.0,0.998,0.99561065,0.9903109419556848
0.5,0.7610754987604387,0.9969608712169178,0.9300470674968805,0.97687626,0.9841539691165807,0.9957345598163782,1.0,0.9563569742028001,0.98590124,0.9870360628668821
0.5,0.03226422298253662,0.20833333333333334,0.1834926826138815,0.1071254,0.07115017268193102,0.15456145919048037,0.0,0.058599945799836316,0.015073895,0.029354408143913102
0.5,0.6489410137112526,1.0,0.5481911455692832,0.5811005,0.36025742361192836,0.7073501623704835,1.0,0.44,0.5083362,0.35261765547828405
0.5,0.5947372033407443,0.19420783645655879,0.8688920487893894,0.8897924,0.8848358955726859,0.6046157041720732,0.0,0.8312658702269778,0.8096003,0.7621772048321828
0.5,0.8932997714255193,0.9723314182038101,0.9497520921147198,0.96173024,0.9829368057032853,0.9942610808071957,1.0,0.985095670995671,0.9821945,0.9800497559945925
0.5,0.9876561213997245,0.9969608712169178,0.9841284796999606,0.9956984,0.9984738324073109,0.9994432786607291,1.0,0.992,0.996356,0.993229642524261
0.5,0.9450344845090428,0.9016,0.9806941434153054,0.9730775,0.9893785791732517,0.9977513782431303,1.0,0.994,0.9905336,0.9867312845405593
0.5,0.9973722299963812,0.9969608712169178,0.9788016635014493,0.9961299,0.9976836085085087,0.999910535262983,1.0,0.99,0.99653333,0.9919156816176218
0.5,0.9867082868777215,0.9969608712169178,0.9725190743750101,0.9960868,0.9983226340328077,0.9994114326329032,1.0,0.968,0.9960028,0.9911864630469297
0.5,0.9795598907104704,0.9723314182038101,0.9893869830980688,0.9964265,0.9966421932385088,0.9992278151568742,1.0,0.9938092105263159,0.9957419,0.9911995402211793
0.5,0.11563775714619628,0.25986642380085,0.3072713179434345,0.2685415,0.30372697133677395,0.6461034475689488,0.0,0.008,0.004882574,0.009958452741784862
0.5,0.998355386301046,0.9969608712169178,0.9912655534939969,0.99803805,0.9997752172659639,0.9998995591651113,1.0,0.996,0.9971273,0.9941985035071188
0.5,0.9624814849724379,0.9723314182038101,0.9583099666798506,0.9922527,0.998477360162437,0.9983139414196226,1.0,0.966,0.9903072,0.9815787415316377
0.5,0.9887119374493211,0.9723314182038101,0.9902510393772954,0.99698895,0.9986370957171374,0.999321126520833,1.0,0.999918462594372,0.9957981,0.9906327433278691
